Candidato,Partido,Votos
Mister N,PHS,194
Americo da Autoescola,PROS,192
Almir Barbosa,PP,191
Prof Aluizio Moreira,PCB,190
Otaviano Paulino,PTC,190
Nino da Barraca,PSDB,189
Adilson Bito,PSD,189
Nestor Ananias,PTC,188
Alexandre Diniz,REDE,187
Wilson Cardoso,PMN,187
Rodesio Fonseca,PPL,186
João Henrique,PSD,183
Rogerio Bênção,PPL,183
Wellington Futsal,PPL,181
Valdenio Dong,PRB,180
Eduardo Lacerda,PSB,179
Doda do Povo,PRB,179
Robson Leite,PPS,178
Mano Coragem,PRP,178
Lila da Varzea,PEN,177
Castro,PC do B,176
Azmazete Sena - Beeca,PDT,175
Marcos,PV,175
Fabiano,PSDB,174
Jair Pedro,PSTU,174
Carlos do Povão,PHS,174
Zenilda Lima,PT,173
Antonio Marcos do Pros,PROS,172
Professor Sorriso,PRB,171
Gecilene Valeria,PTC,170
Reginaldo Andrade,PPL,169
Felipe dos Santos,PHS,169
Rômulo Falcão,PV,169
Elza do Cepas,PSC,168
Profº Cícero Vieira,PC do B,167
Motoca,PSDB,167
Gilberto Marques,PSB,165
Everton Alan,PMN,165
Arlindo Macedo,PMN,162
Marco Bala,PSL,161
Diamante Negro,PMN,161
Nilson Luthier,PEN,160
Fabio Vinhaes,PDT,160
Oliveira,SD,159
Asafe Neves,PP,159
Paulinho da Vila dos Bancários,PSD,159
Paquito,PSD,159
Sargento Costa,PPS,157
Severino Billy,PTB,157
Professor Silvio Diniz,PSL,156
Lula Braz,PT,156
Suely Dantas,SD,156
Velho Barretto,PV,156
Elias Santos,REDE,155
Natanael Freitas,PPS,155
Pastor Jefferson Gomes,PSD,154
Ismael Rodrigues,PSDC,153
Marcos do Peixe,SD,152
Irmã Sofia,PMN,152
Henrique Bueirão,PROS,151
Professor Paulo Máximo,PEN,151
Irmã Ana,PEN,151
Antonio dos Milagres,PRTB,150
Luciano Cob,PRB,149
Nalva Castro,PTB,148
Jonatas Santos,SD,148
Sérgio Paulo,PV,148
Sanclair,PC do B,147
Higo Lira,PPS,147
Jose Alves,PMN,147
Fagner Valença,PRB,146
Valdelina,PRTB,145
Claudia Simone,SD,145
Eduardo Belmiro,PSDC,145
Marinheiro Popai,PMN,144
Agenor Pereira,DEM,143
Marcos André É Só Vitória,SD,142
Paulo Cavalcanti,PPS,142
